class,model_name,description,status,proposed
Jeep Dolly,JD2+1X,Tridem Hydraulic,0,0
Hydraulics,60HDG3X HB_temp1,60 ton Tridem Square Back,0,1
Hydraulics,55HDG3X,55 ton Tridem Square Back,0,0
Hydraulics,55HDG3X H,55 ton Tridem Square Back Heavy,0,0
Hydraulics,55FA  B,55 Ton Single Axle Flip,0,0
Hydraulics,55HDG3X Q1,55 Ton Tridem Square Back,0,1
Dump,27DT2X V2018,27 ft. Tandem 1/4 Frame U-Body,0,0
Container Chassis,53VT2V FL CA-97,53 ft. 2 Van - Frito Lay Canada,0,0
Container Chassis,53VT2V FL US-97,53 ft. 2 Van - Tandem Axle Truck Frito Lay US,0,0
Hydraulics,55HDG3X US,55 ton Tridem Square Back,0,0
Log Eastern,46LF4X NL,46 ft. Quad Pulp Taper Frame - NL,0,0
Container Chassis,53VT2V JB HUNT,53 ft. 2 Van - J.B. Hunt,0,0
Machinery,35HDG2X53,35 Ton Tandem Hydraulic - 53 ft.,0,1
Stargate,PY-FR454-WR3X,28 ft. Tandem Pup Dump,0,1
Hydraulics,DECK - Bellemar,55 ton Drop Side Pin Deck,0,0
Log Eastern,52LD4X5T,52 ft. Quad 5 Tier Drop Frame,0,0
Container Chassis,33VT2V DCI Tag,33 ft. 2 Van - DCI Tag,0,0
Highway,53HD2X EXT_temp1,53 ft. Highway Drop Deck Extendable,0,1
Chassis,Pony 3X17,Pony Trailer Quad,0,0
Stargate,48LB4X A,48 ft. QUAD Aluminum,0,0
Dump,53EWF4X,53Ft. Quad Elliptical Walking Floor Transfer Trailer,0,0
Stargate, TB48,Truck Box - 48 in.,0,0
Highway,40HD3XB,40 Ft. Tridem Drop Deck,0,1
Highway,45HD2X,45 ft. Tandem Drop Deck,0,1
Container Chassis,40CC2X,40 ft. Tandem,0,1
Converters/Boosters,11SB2X SB,11 Ton Steer Tandem Axle Booster,0,1
Stargate,Dump SF3X,40 ft - Steel Frame Dump,0,0
Stargate,30SB,30 ft. Steel Dump Body,0,0
Stargate,B-Train Pull Dump_temp1,Steel Lead B-Train Dump Trailer,0,1
Stargate,CD2X,Converter Dolly Tandem,0,0
Stargate,24SB,24 ft. Steel Dump Body,0,0
Highway,32HBT4X,32 ft. Quad Lead B-Train,1,0
Highway,48HDD2X EXT,48 ft. Tandem Doubel Drop Deck Extendable,0,0
Hydraulics,35HDG2X NR,35 Ton Tandem 48 ft. Non RTAC,0,0
Log Eastern,48LF3X5T NB V2018,48 ft. Tridem 5  Tier Taper Frame - NB,0,1
Log Eastern,51LD4X5T V2018,51 ft. Quad  5 Tier Drop Frame - NB,0,0
Stargate,UBF2X,U Body Frameless Aluminum Tandem Dump,0,0
DUMP,SFUB2X,U-Body Frameless Steel Scrap Tandem Dump,0,1
Highway,FA, Single Axle Flip,0,0
Stargate,38LB3X A,38 ft. TRIDEM Aluminum,0,0
Stargate,28LB2X A,28 ft. Tandem Aluminum,0,0
Stargate,CD1X,Converter Dolly Single Axle,0,0
Container Chassis,53VT3X DCI V2021,53 ft. 3 Van - DCI,0,0
Highway,48HDD2X,48 ft. Tridem Double Drop Deck,0,1
Container Chassis,53VT3V PENSKE,53 ft. 3 Van - PENSKE,0,0
End Dumps,End Dump 4X,End Dump 4X,0,0
Tags,20NTTS,20 Ton Tandem Non Tilt Sprayer,0,1
Stargate,Dump SF2X,21 Ft - Steel Frame Dump,0,0
Highway,53HD2X Crane,53 ft. Tandem Bridge Crane Drop Deck,0,0
Stargate,Steel End Dump 2X,36 ft - Steel End Dump,0,0
Stargate,17PDB,Pony Dump Body,0,1
End Dumps,Frameless Alum. U Body 2X,Frameless Alum. U Body 2X,0,0
End Dumps,Frameless Alum. U Body 3X,Frameless Alum. U Body 3X,0,0
Oilfield,55LB3X SND,"55 Ton Tridem  Short Neck - 6"" Drop Lowbed",0,0
Oilfield,55LB3X LNF,55 Ton Tridem TriDrive Neck Lowbed,0,0
Machinery,35ADG2X51 AGLP,35 Ton Tandem 51 ft. Agri Low Profile,0,1
Hydraulics,25HDG2X Mini NR,25 Ton Tandem Square Back Mini Deck,1,1
Log Western,37LBT3X W,37 ft. Tridem 2 Tier Lead B-Train - Western,0,0
Log Western,27LBT2X W,27 ft. Tandem 1 Tier  Pull B-Train - Western,0,0
Machinery,35ADG2X51 AGNR,35 Ton Tandem 51 ft. Agri - Non RTAC,0,0
Container Chassis,53VT2V Frito Lay,53 ft. 2 Van - DCI Frito Lay,0,1
Machinery,35ADG2X53 AGS,35 Ton Tandem 53 ft.  Agri  8 ft. Spread,0,0
Chassis,44CC3X,44 ft. Bulk Body Chassis - Air Ride,0,0
Equipment,42ET3X,42 ft. Tridem,0,0
Log,53LF4X5T NB,53' 5 Tier Quad - NB,1,0
Oilfield,51OF3X,51 Ton Tridem  Oilfield Float,0,1
Highway,48HDD2X Custom,48 ft. Tandem Double Drop Deck - Custom,0,1
Container Chassis,53VT2V FL US,53 ft. 2 Van - Tandem Axle Truck Frito Lay US,0,1
Hydraulics,35HDG2X Mini NR,35 Ton Tandem Square Back Mini Deck,1,1
Highway,48HF2X,48 ft. Tandem Flat Deck,0,0
Highway,48HF3X,48 ft. Tridem Flat Deck,0,0
Hydraulics,40HDG3X AG,40 Ton Tridem  Agriculture,0,0
Container Chassis,40GT1X,40 ft. Single Axle - Glass,0,1
Highway,48HD2X SPECIAL,48 ft. Tandem Drop Deck,0,1
Highway,42HF2X,42 ft. Tridem Flat Deck - Single Tire,0,1
Hydraulics,55HDG3X SBLH PQ,55 Ton Tridem Square Back - Light Haul PQ,1,1
Log US,46LF3X4T USAE,46 ft. Tridem 4 Tier Taper Frame - USAE,0,1
Machinery,30ADG2X53 AGLP,30 Ton Tandem 53 ft. Agri Low Profile,0,1
Log US,48LF3X5T USAE,48 ft. Tridem 5 Tier Taper Frame- USAE,0,1
Tags,20FDNT ECO New Jersey Turnpike Authority,20 Ton Flat Deck Non Tilt Deckover New Jersey Turnpike Authority,1,0
Highway,53HDD3X,53 ft. Tridem Double Drop Deck,0,0
Machinery,30ADG2X48 AGULP,35 Ton Tandem 48 ft. Agri Ultra Low Pro,1,0
Highway,28HBT2X 2018,28 ft. Tandem Pull B-Train,0,0
Tags,25ART-F,25 Ton Tridem Air Tilt/Air Ramp,1,0
Paving & Recovery,48ET2XP,48 ft. Tandem,0,0
Log Western,51LF3X3T SK V2016,51 ft. Tridem 3 Tier Shortwood Taper Frame - SK,0,1
Paving & Recovery,48ET3XP,48 ft. Tridem,0,0
Log Western,40LD3X,40 ft. Tridem 2 Tier Pull B-Train - Manitoba,0,1
Log Western,27LD2X,28 ft. Tandem 1  Tier Lead B-Train - Manitoba,0,1
Container Chassis,20VT1V Mexico,20 ft. 1 Van - DCI Mexico,0,1
Highway,46HDD2X Custom,46 ft. Tandem Double Drop Deck - Custom,0,1
Highway,42HF3X HD,42 ft. Tridem Flat Deck - Single Tire,0,1
Chassis,27BC2X,27 ft. Bulk Chassis,0,0
Chassis,45BC3X,45 ft. Bulk Chassis,0,0
Container Chassis,53VT2V CAL,53 ft. 2 Van - California,0,0
Tags,40EPT1X,40 ft. Extendable Pole,0,1
Highway,35HD2X,35 ft. Tandem Drop Deck,0,1
Container Chassis,38GT2X,38 ft. Tandem - Glass,0,1
Container Chassis,51GT2X,51 ft. Tandem - Glass,0,1
Container Chassis,47GT2X,47 ft. Tandem - Glass,0,1
Log Eastern,51LD4X5T ON,51 ft. Quad 5 Tier Drop Frame - ON,0,0
Log Eastern,25LPT2X,25 Foot Tandem,0,1
Hydraulics,55HDG3X SBLH,55 Ton Tridem Square Back - Light Haul,1,0
Log Eastern,46LF3X4T V2018,46 ft. Tridem 4 Tier Taper Frame,0,0
Highway,42HD3X 2018,42 ft. Tridem Drop Deck,0,1
Highway,53HD2X,53 ft. Tandem Drop Deck,0,0
Highway,48HD5X,48 ft. Five Drop Deck,0,1
Agriculture,LP18,18 Ft Land Pro,0,0
