class,model_name,description,status,proposed
Hydraulics,35HDG2X48 AGULP,35 Ton Tandem - 48 ft. Agri Ultra Low Pro HDG,0,0
Machinery,35MD2X48 AGULP,35 Ton Tandem 48 ft. Agri Ultra Low Pro,0,1
Snow & Ice Control,2020,HOPPER SANDER 8.5 CU YD,0,0
Log Eastern,51LD5X5T ON V2017,51 ft. Five Axle 5 Tier Drop Frame - ON,0,1
Highway,42HD3X HD,42 FT. Tridem Heavy Duty Drop Deck,0,1
Hydraulics,70HDG4X SB,70 Ton Quad Squareback,0,1
Highway,28HBT2X,28 ft. Tandem Pull B-Train - Lumber Spec,0,0
1,1,1,1,0
2,2,2,1,0
3,3,3,1,0
