dealer,model,slot,market,freight,date
4,35DD2X BT <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35MD2X48 P <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,45MD3X EXT <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35HDG2X53 <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35ADG2X51 AGLP <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35ADG2X51 AGNR <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35ADG2X53 AGS <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,30ADG2X53 AGLP <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,40ADG3X53 AGLP <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35ADG2X51 LP <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,35MD2X48 AGULP <MACHINERY>,44.0,0.0,0.0,2021-05-17
4,40SN3X <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,40SN3X SB <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,55LB3X LND <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,40SN3X M <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,60SN3X <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,50SN3X 2018 <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,50SN3X <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,55LB3X SND <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,55LB3X LNF <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,51OF3X <OILFIELD>,44.0,0.0,0.0,2021-05-17
4,2510 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2513 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2514 <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
4,2311NB <SNOW & ICE CONTROL>,44.0,0.0,0.0,2021-05-17
