ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
8656,27DT2X V2018,27DT2X V2018-24,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3916.5407,SUSPENSION/AXLES,"* Disc Brakes (PAN 22 Axles - Tires Size 22.5 or 24.5)",0,NULL,NULL,NULL,13,99000074,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD270F,3334.3522
8657,27DT2X V2018,27DT2X V2018-07,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000,251.9769,SUSPENSION/AXLES,"Dual 2 speed Holland Landing Gear",0,NULL,0,NULL,13,99000087,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2710,214.5209
8658,27DT2X V2018,27DT2X V2018-25,2012-07-01 00:00:00.000,2013-06-30 00:00:00.000,0.0000,PAINT,"Grey w/ Black highlights (accents)",0,NULL,NULL,NULL,21,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2711,0.0000
8659,27DT2X V2018,27DT2X V2018-01,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,330.0304,DECK,"10 in. Planks - Painted and Installed",50,NULL,0,NULL,7,99000080,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2712,280.9718
8660,27DT2X V2018,27DT2X V2018-02,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,2405.2342,DECK,"Tailgate - 2 Way (top hinge, side hinge)",180,NULL,0,NULL,7,99001638,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2713,2047.6992
8661,27DT2X V2018,27DT2X V2018-03,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4311.6045,DECK,"Tailgate - Hi Lift Assy. (Dual Vertical Function)",1150,NULL,0,NULL,7,99000076,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2714,3670.6903
8662,27DT2X V2018,27DT2X V2018-04,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1080.0221,DECK,"1/4 in Hardox 450 Floor",380,NULL,0,NULL,7,99001637,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2715,919.4784
8663,27DT2X V2018,27DT2X V2018-05,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,557.2840,DECK,"Asphalt Apron - 12 in. Bolt on Sloped Rear",60,NULL,0,NULL,7,99000084,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2716,388.5934
8664,27DT2X V2018,27DT2X V2018-06,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,344.4533,DECK,"Asphalt Apron - 6 in. Bolt on Sloped Rear",40,NULL,0,NULL,7,99000083,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2717,293.2508
8665,27DT2X V2018,27DT2X V2018-08,2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1495.4992,SUSPENSION/AXLES,"Alum. Wheel Pkg. 22.5  (4 machined, 4 polished)",-224,NULL,0,NULL,13,99000081,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2718,1150.3856
