IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
5829,32DT3X V2018,32DT3X V2018-001,TRAILER,Overall Length,"36 ft. 9 in. (Box length 32 ft.)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,1,0,1,10,NULL
5830,32DT3X V2018,32DT3X V2018-002,TRAILER,Overall Width,"102 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,2,0,1,20,NULL
5831,32DT3X V2018,32DT3X V2018-003,TRAILER,Weight lbs +/- 2%,"18,890",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,3,0,1,30,NULL
5832,32DT3X V2018,32DT3X V2018-004,TRAILER,Water Level Cubic Capacity - No Planks,"34 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,4,0,1,40,NULL
5833,32DT3X V2018,32DT3X V2018-005,TRAILER,WLCC - w/10in Top Planks,"39 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,5,0,1,50,NULL
5834,32DT3X V2018,32DT3X V2018-006,COUPLER,Coupler,"Weld in King Pin",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,1,0,10,10,NULL
5835,32DT3X V2018,32DT3X V2018-007,COUPLER,Coupler Plate,"5/16 in. Hi-Tensile, 50 in. Height",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,2,0,10,20,NULL
5836,32DT3X V2018,32DT3X V2018-009,COUPLER,Coupler Location,"18 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,4,0,10,30,NULL
5837,32DT3X V2018,32DT3X V2018-010,STRUCTURE,Sills,"3/16 in. formed full length",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,1,0,16,10,NULL
5838,32DT3X V2018,32DT3X V2018-011,STRUCTURE,Floor,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,2,0,16,20,NULL
5839,32DT3X V2018,32DT3X V2018-012,STRUCTURE,Sides,"43 in. High 3/16 in. Hardox 450 (Crimped Design)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,3,0,16,30,NULL
5840,32DT3X V2018,32DT3X V2018-013,STRUCTURE,Rear Posts,"3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,4,0,16,40,NULL
5841,32DT3X V2018,32DT3X V2018-014,STRUCTURE,Risers,"10 in. planks (not included)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,5,0,16,120,NULL
5842,32DT3X V2018,32DT3X V2018-015,STRUCTURE,Top Rail,"Formed 3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,6,0,16,50,NULL
5843,32DT3X V2018,32DT3X V2018-016,STRUCTURE,Headboard,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,7,0,16,60,NULL
5844,32DT3X V2018,32DT3X V2018-018,STRUCTURE,Tow eyes at rear,"Included",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,9,0,16,80,NULL
5845,32DT3X V2018,32DT3X V2018-019,STRUCTURE,Landing Gear,"Dual 2 Speed",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,10,0,16,90,NULL
6271,32DT3X V2018,32DT3X V2018-020,STRUCTURE,Tarp Mount Brackets,"Integrated to tub for front to back tarp installation",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,11,0,16,100,NULL
6272,32DT3X V2018,32DT3X V2018-021,STRUCTURE,Tarp,"Optional",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,12,0,16,110,NULL
6273,32DT3X V2018,32DT3X V2018-022,STRUCTURE,Dump Hoist,"51 Ton Capacity with 269 in. stroke (47 degree), dump hoist pins c/w greasbale pins",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,13,0,16,130,NULL
