ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
6025622,Pony Truck Box,Pony Truck Box-45,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,51.5500,GENERAL SPECIFICATIONS,"Shovel Holder",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430270,39.6500
6025623,Pony Truck Box,Pony Truck Box-46,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,51.5500,GENERAL SPECIFICATIONS,"Broom Holder",NULL,NULL,NULL,NULL,73,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430271,39.6500
6025624,Pony Truck Box,Pony Truck Box-48,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,1623.7100,BODY,"3/8 in. Floor (5083)",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430272,1249.0100
6025625,Pony Truck Box,Pony Truck Box-50,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"Rubber Tailgate Seal",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430273,NULL
6025626,Pony Truck Box,Pony Truck Box-51,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"2 in. x 8 in. boards",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430274,NULL
6025627,Pony Truck Box,Pony Truck Box-52,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"2 in. x 12 in. boards, cubic capacity is 25 cubic yards with 48 in. sides and 27.5 cubic yards with 54 in sides",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430275,NULL
6025628,Pony Truck Box,Pony Truck Box-53,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,0.0000,PAINT,"Board Color",NULL,NULL,NULL,NULL,2,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430276,NULL
6025629,Pony Truck Box,Pony Truck Box-54,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,61.8600,BODY,"Tarp Color, other than Black",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x000000024F430277,47.5800
6025630,Pony Truck Box,Pony Truck Box-58,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,-300.0000,BODY,"16 Ft.",-190,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430278,NULL
6025631,Pony Truck Box,Pony Truck Box-59,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"2 in. x 6 in. boards, cubic capacity is 22.5 cubic yards with 48 in. sides and 30 cubic yards with 60 in. sides",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F430279,NULL
6025632,Pony Truck Box,Pony Truck Box-60,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,1500.0000,BODY,"22 ft. box",950,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027A,NULL
6025633,Pony Truck Box,Pony Truck Box-61,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"54 in. Wall Height",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027B,NULL
6025634,Pony Truck Box,Pony Truck Box-62,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"60 in. Wall Height",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027C,NULL
6025635,Pony Truck Box,Pony Truck Box-63,2020-09-10 00:00:00.000,2021-07-01 00:00:00.000,NULL,BODY,"Floor Liner to include 24 in. high on wall",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027D,NULL
6025636,Pony Truck Box,Pony Truck Box-64,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,1750.0000,BODY,"Custom Hoist 135 (74-4561-135) with dumping angle of 47 degrees",NULL,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027E,NULL
6025637,Pony Truck Box,Pony Truck Box-65,2020-09-18 00:00:00.000,2021-07-01 00:00:00.000,300.0000,BODY,"1 ft. Additional Length",190,NULL,NULL,NULL,3,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x000000024F43027F,NULL
