ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
647914,Pony Dump 3X17,Pony Dump 3X17-37,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,390.0000,PAINT,"Frame Paint Solid Color (other than black)",NULL,NULL,NULL,NULL,21,NULL,NULL,0,0,NULL,NULL,1,Enter a colour,NULL,0x0000000263CD2ED0,NULL
647915,Pony Dump 3X17,Pony Dump 3X17-38,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,260.0000,CHASSIS,"Heavy Duty Jost Landing Gear",NULL,NULL,NULL,NULL,28,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED1,NULL
647916,Pony Dump 3X17,Pony Dump 3X17-39,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2340.0000,BODY,"3/8 Floor (5083) with fork lift package",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED2,NULL
647917,Pony Dump 3X17,Pony Dump 3X17-40,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,975.0000,ACCESSORIES,"Fork Lift Package",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED3,NULL
647918,Pony Dump 3X17,Pony Dump 3X17-41,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,676.0000,SUSPENSION/AXLES,"Schrader Valve in control box for use with Air System in Lift Axle",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED4,NULL
647919,Pony Dump 3X17,Pony Dump 3X17-42,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,312.0000,ACCESSORIES,"Curved Header Pipe",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED5,NULL
647920,Pony Dump 3X17,Pony Dump 3X17-43,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,SUSPENSION/AXLES,"Tow in 3/8 in. - 7/16 in.",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED6,NULL
647921,Pony Dump 3X17,Pony Dump 3X17-44,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,ACCESSORIES,"Slid n Go Tarp Mesh Flip Style, Manual/Electric",NULL,NULL,NULL,NULL,17,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED7,NULL
647923,Pony Dump 3X17,Pony Dump 3X17-46,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,50.0000,GENERAL SPECIFICATIONS,"Broom Holder",NULL,NULL,NULL,NULL,73,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED8,NULL
647924,Pony Dump 3X17,Pony Dump 3X17-47,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,NULL,CHASSIS,"Aluminum Frame",NULL,NULL,NULL,NULL,28,NULL,NULL,1,0,NULL,NULL,0,NULL,NULL,0x0000000263CD2ED9,NULL
