IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
5811,27DT2X V2018,27DT2X V2018-030,SUSPENSION/AXLES,Suspension,"Ridewell RAR 266 25,000 lbs, 15 in. Ride Height o/s c/w 4 in. air load guage on front near gladhands",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,4,0,40,30,NULL
5812,27DT2X V2018,27DT2X V2018-031,SUSPENSION/AXLES,Brakes,"16 1/2 in. x 7 in.,  Includes Dust Shields",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,5,0,40,40,NULL
5813,27DT2X V2018,27DT2X V2018-032,SUSPENSION/AXLES,Brake Chamber,"#3030,  All Axles",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,6,0,40,50,NULL
5814,27DT2X V2018,27DT2X V2018-033,SUSPENSION/AXLES,Air Brake System,"2S/1M",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,7,0,40,60,NULL
5815,27DT2X V2018,27DT2X V2018-034,SUSPENSION/AXLES,Slack Adjusters,"Automatic",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,8,0,40,70,NULL
5816,27DT2X V2018,27DT2X V2018-035,SUSPENSION/AXLES,Camshafts,"28 Spline Enclosed",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,9,0,40,80,NULL
5817,27DT2X V2018,27DT2X V2018-036,SUSPENSION/AXLES,Hubs & Drums,"10 Stud Unimount C / W Cast Drums",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,10,0,40,90,NULL
5818,27DT2X V2018,27DT2X V2018-037,SUSPENSION/AXLES,Tires,"11R22.5",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,11,0,40,110,NULL
5819,27DT2X V2018,27DT2X V2018-038,SUSPENSION/AXLES,Wheels,"8.25 x 22.5 Steel Disc - Painted White",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,12,0,40,120,NULL
5820,27DT2X V2018,27DT2X V2018-039,GENERAL SPECIFICATIONS,Electrical System,"Modular, Vapor Proof GROTE Ultra Blue",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,1,0,73,10,NULL
5821,27DT2X V2018,27DT2X V2018-041,GENERAL SPECIFICATIONS,Dump Valve,"Manual and Auto dump (on Tail gate activation), Inside Control Box",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,6,0,73,40,NULL
5822,27DT2X V2018,27DT2X V2018-042,GENERAL SPECIFICATIONS,Front Connector,"SAE J560 7 Pin and ISO Connector",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,2,0,73,20,NULL
5823,27DT2X V2018,27DT2X V2018-043,GENERAL SPECIFICATIONS,Lights,"LED CMVSS 108 / FMVSS 108",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,3,0,73,30,NULL
5824,27DT2X V2018,27DT2X V2018-046,GENERAL SPECIFICATIONS,Finishing,"Preparation by Steel Shot Blast, Commercial / Industrial Topcoat, Oven Baked",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,7,0,73,50,NULL
5825,27DT2X V2018,27DT2X V2018-047,GENERAL SPECIFICATIONS,Color,"Dark Gray Chassis and Body c/w Black highlights (accents)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,10,0,73,70,NULL
5826,27DT2X V2018,27DT2X V2018-048,GENERAL SPECIFICATIONS,Mudflaps,"2 set of BWS, 1 set at rear, 1 set at rear of front fenders",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,9,0,73,60,NULL
5827,27DT2X V2018,27DT2X V2018-050,GENERAL SPECIFICATIONS,Fenders,"Fabricated 14 ga. Steel Plate Front and Rear Integrated into tub design - bolt on style",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,10,12,0,73,80,NULL
5828,27DT2X V2018,27DT2X V2018-049,SUSPENSION/AXLES,Control Box,"Located on the front of the suspension",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,10,0,40,100,NULL
14265,27DT2X V2018,27DT2X V2018-001,TRAILER,Overall Length,"29 ft. 6 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,1,0,1,10,NULL
14266,27DT2X V2018,27DT2X V2018-002,TRAILER,Overall Width,"102 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,2,0,1,20,NULL
14267,27DT2X V2018,27DT2X V2018-003,TRAILER,Weight lbs +/- 2%,"14,778",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,3,0,1,30,NULL
14268,27DT2X V2018,27DT2X V2018-004,TRAILER,Water Level Cubic Capacity - No Planks,"24.7 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,4,0,1,40,NULL
14269,27DT2X V2018,27DT2X V2018-005,TRAILER,WLCC - w/10in Top Planks,"30.4 Cubic Yards",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,1,5,0,1,50,NULL
14270,27DT2X V2018,27DT2X V2018-006,COUPLER,Coupler,"Weld in King Pin",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,1,0,10,10,NULL
14271,27DT2X V2018,27DT2X V2018-008,COUPLER,Coupler Plate,"5/16 in. Hi-Tensile, 50 in. Height",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,2,0,10,20,NULL
14272,27DT2X V2018,27DT2X V2018-009,COUPLER,Coupler Location,"18 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,3,4,0,10,30,NULL
14273,27DT2X V2018,27DT2X V2018-010,STRUCTURE,Sills,"3/16 in. formed full length",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,1,0,16,10,NULL
14274,27DT2X V2018,27DT2X V2018-011,STRUCTURE,Floor,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,2,0,16,20,NULL
14275,27DT2X V2018,27DT2X V2018-012,STRUCTURE,Sides,"43 in. High 3/16 in. Hardox 450 (Crimped Design)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,3,0,16,30,NULL
14276,27DT2X V2018,27DT2X V2018-013,STRUCTURE,Rear Posts,"3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,4,0,16,40,NULL
14277,27DT2X V2018,27DT2X V2018-014,STRUCTURE,Risers,"10 in. planks (not included)",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,5,0,16,120,NULL
14278,27DT2X V2018,27DT2X V2018-015,STRUCTURE,Top Rail,"Formed 3/16 in. 50W",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,6,0,16,50,NULL
14279,27DT2X V2018,27DT2X V2018-016,STRUCTURE,Headboard,"3/16 in. Hardox 450",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,7,0,16,60,NULL
14280,27DT2X V2018,27DT2X V2018-017,STRUCTURE,Tailgate,"54 in. top hinge gate, 3/16 in. Hardox 450 c/w air lock  and automatic suspension dump - includes spreader chains on rear, and air override tailgate valve for manual release, beveled top lip for easy removal of product forming on top",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,8,0,16,70,NULL
14281,27DT2X V2018,27DT2X V2018-018,STRUCTURE,Tow eyes at rear,"Included",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,9,0,16,80,NULL
14282,27DT2X V2018,27DT2X V2018-019,STRUCTURE,Landing Gear,"Dual 2 Speed",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,10,0,16,90,NULL
14283,27DT2X V2018,27DT2X V2018-021,STRUCTURE,Tarp Mount Brackets,"Integrated to tub for front to back tarp installation",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,12,0,16,100,NULL
14284,27DT2X V2018,27DT2X V2018-022,STRUCTURE,Tarp,"Optional",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,13,0,16,110,NULL
14285,27DT2X V2018,27DT2X V2018-024,STRUCTURE,Dump Hoist,"45 Ton Capacity with 230 in. Stroke, 53 degrees, dump hoist pin c/w greasable pins",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,15,0,16,130,NULL
14286,27DT2X V2018,27DT2X V2018-025,STRUCTURE,Asphalt Apron,"Optional",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,16,0,16,140,NULL
14287,27DT2X V2018,27DT2X V2018-026,STRUCTURE,Ladder,"1 on front drivers side headboard, 1 on rear driver side rear.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,4,17,0,16,150,NULL
14288,27DT2X V2018,27DT2X V2018-027,SUSPENSION/AXLES,Axles,"25,000 lbs Capacity 77.5 in. Track 3/4 in. wall",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,1,0,40,10,NULL
14289,27DT2X V2018,27DT2X V2018-028,SUSPENSION/AXLES,Spread,"49 in.",2011-11-01 00:00:00.000,2012-06-30 00:00:00.000,7,2,0,40,20,NULL
9399325,27DT2X V2018,27DT2X V2018-051,STRUCTURE,1/4 Frame Pivot Hinges,"Fitted with Dryslide Self Lubricated Bushing and Greasable Pins",NULL,NULL,NULL,NULL,NULL,16,131,NULL
