IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
4542015,53EWF4X,53EWF4X-002,TRAILER,Overall Width,"102 in.",NULL,NULL,1,2,NULL,1,20,NULL
4542016,53EWF4X,53EWF4X-043,GENERAL SPECIFICATIONS,Color,"Black, Inside wall not to be painted approx 2 ft",NULL,NULL,10,7,NULL,73,60,NULL
4542017,53EWF4X,53EWF4X-073,STRUCTURE,Sub Floor,"1 x 1 Steel",NULL,NULL,NULL,NULL,NULL,16,90,NULL
4542018,53EWF4X,53EWF4X-001,TRAILER,Overall Length,"53 ft.",NULL,NULL,1,1,NULL,1,10,NULL
4542019,53EWF4X,53EWF4X-007,COUPLER,Coupler Plate,"3/8 in. 100,000 PSI, 48 in. Height",NULL,NULL,3,2,NULL,10,20,NULL
4542020,53EWF4X,53EWF4X-031,SUSPENSION/AXLES,Slack Adjusters,"Automatic",NULL,NULL,7,7,NULL,40,70,NULL
4542021,53EWF4X,53EWF4X-032,SUSPENSION/AXLES,Camshafts,"28 Spline",NULL,NULL,7,8,NULL,40,80,NULL
4542022,53EWF4X,53EWF4X-037,GENERAL SPECIFICATIONS,Electrical System,"LED",NULL,NULL,10,1,NULL,73,10,NULL
4542023,53EWF4X,53EWF4X-038,GENERAL SPECIFICATIONS,Lights in Back Door,"3 of LED Red",NULL,NULL,10,2,NULL,73,20,NULL
4542024,53EWF4X,53EWF4X-064,STRUCTURE,Bottom Rail,"100,000 PSI",NULL,NULL,NULL,NULL,NULL,16,30,NULL
4542025,53EWF4X,53EWF4X-065,STRUCTURE,Top Rail,"100,000 PSI",NULL,NULL,NULL,NULL,NULL,16,20,NULL
6289724,53EWF4X,53EWF4X-084,TRAILER,Cubic Capacity,NULL,NULL,NULL,NULL,NULL,NULL,1,60,NULL
6289727,53EWF4X,53EWF4X-083,TRAILER,Weight +/- 2%,NULL,NULL,NULL,NULL,NULL,NULL,1,50,NULL
13444928,53EWF4X,53EWF4X-085,STRUCTURE,Floor Cylinders,"3 1/2 in.",NULL,NULL,NULL,NULL,NULL,16,81,NULL
