ID,Quote Date,Order Date,WO#,Quote#,Option No,Price,Qty,Sections,Description,Comments,Weight,Cost,Material Cost,Machine Shop,Steel Kit,Axles,Stakes/Bunks,Beam,GNK,Parts,Line,Step 1,Step 2,Blast,Paint,Finish,Finish - GNK,Final Assembly,Tire Assembly,Shipping,Start Date,End Date,SortSe,Width,Spread,Draw/Part#,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,ordopt_timestamp,Are WO Specs Different?,Comments V2
455573,00:00.0,NULL,NULL,26112,48HF4X-13,2243.2384,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 machined;; 6 polished),NULL,-336,1833.4223,1833.4223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000110,NULL,0,NULL,NULL,0x00000002BEDE648F,0,NULL
456696,00:00.0,NULL,NULL,26130,53HF4X-14,1252.8065,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002C4BEFB3E,0,NULL
454305,00:00.0,NULL,NULL,26088,32DT3X V2018-21,1204.6216,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002BEDC7259,0,NULL
450879,00:00.0,NULL,NULL,26048,32DT3X V2018-21,1204.6216,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002B194D2BA,0,NULL
450987,00:00.0,NULL,NULL,26051,27DT2X V2018-09,803.088,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (4 steel;; 4 polished),NULL,-112,656.3684,656.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000082,NULL,0,NULL,NULL,0x00000002BED5B553,0,NULL
455927,00:00.0,NULL,NULL,26113,51LF3X3T AB V2016-05,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002C2685954,0,NULL
451249,00:00.0,NULL,NULL,26056,53HF4X-14,1204.6216,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (6 steel;; 6 polished),NULL,-168,984.5526,984.5526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000111,NULL,0,NULL,NULL,0x00000002BEEEBEEF,0,NULL
451173,00:00.0,NULL,NULL,26055,53ET4X MR-71,1543.1416,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (8 steel;; 8 polished),NULL,0,1261.222,1261.222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99001619,NULL,0,NULL,NULL,0x00000002BEEAEC8B,0,NULL
452635,00:00.0,NULL,NULL,26079,48LF3X5T V2018-17,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002B1503D65,0,NULL
452612,00:00.0,NULL,NULL,26076,46LD3X4T V2018-42,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002B11F510C,0,NULL
452641,00:00.0,NULL,NULL,26080,48LD4X5T V2018-46,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002B15522B8,0,NULL
452014,00:00.0,NULL,NULL,26071,46LF3X4T V2018-11,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002C2B56899,0,NULL
455009,00:00.0,NULL,NULL,26108,25FDNT-05,1157.364,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x00000002C4546602,0,NULL
456555,00:00.0,NULL,NULL,26126,30NTT-05,925.8929,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 17.5  (6 steel;; 6 polished),NULL,-144,945.9165,945.9165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000047,NULL,0,NULL,NULL,0x00000002C3B77721,0,NULL
454310,00:00.0,NULL,NULL,26089,27DT2X V2018-09,803.088,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (4 steel;; 4 polished),NULL,-112,656.3684,656.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000082,NULL,0,NULL,NULL,0x00000002B191EDF2,0,NULL
454316,00:00.0,NULL,NULL,26090,27DT2X V2018-09,803.088,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 22.5  (4 steel;; 4 polished),NULL,-112,656.3684,656.3684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000082,NULL,0,NULL,NULL,0x00000002B192E7FB,0,NULL
452060,00:00.0,NULL,NULL,26072,48LD3X5T V2018-46,2834.3016,1,SUSPENSION/AXLES,Alum. Wheel Pkg. 24.5  (6 machined;; 6 polished),NULL,-336,2316.7451,2316.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,00:00.0,00:00.0,13,NULL,NULL,99000025,NULL,0,NULL,NULL,0x00000002B15134DF,0,NULL
