Job,JobDescription,JobClassification,JobType,MasterJob,Priority,StockCode,StockDescription,Warehouse,Customer,CustomerName,JobTenderDate,JobDeliveryDate,JobStartDate,ActCompleteDate,Complete,SeqCheckReq,DateCalcMethod,ExpLabour,ExpMaterial,QtyToMake,QtyManufactured,Source,EstSourceNum,NextDetailLine,PctCompleteFlag,PrtFactDoc1,PrtFactDoc2,PrtFactDoc3,PrtFactDoc4,SellingPrice,AddLabPct,AddMatPct,ProfitPct,SalesOrder,MaterialBilled,LabourBilled,NextOpForAll,HighestOpPosted,TotalQtyScrapped,ConfirmedFlag,HoldFlag,JobCreatedStruc,LstOrderCreated,TraceableType,NxtLinePartBook,Route,WipCtlGlCode,Decimals,SalesOrderLine,MatCostToDate1,MatCostToDate2,MatCostToDate3,LabCostToDate1,LabCostToDate2,LabCostToDate3,HrsBookToDate1,HrsBookToDate2,HrsBookToDate3,MatValueIssues1,MatValueIssues2,MatValueIssues3,LabValueIssues1,LabValueIssues2,LabValueIssues3,NarrationNum,ReqPlnFlag,DateJobLstUpd,TimeJobLstUpd,HierarchyFlag,NextLineHier,EstTrailLoad,OrdEntSource,Version,Release,AllocationLine,PurgeJob,HierarchyJob,MrpFromJob,MrpToJob,OrigDueDate,GrossFlg,GrossQty,ExpLabCurrent,ExpMatCurrent,ReservedLotSerFlag,NotionalPart,CoProductCostMet,CoProductCostVal,CoProductType,CapexCode,CapexLine,UomFlag,ConvFactUom,ConvMulDiv,ScheduleFlag,SchStartDate,SchStartTime,SchEndDate,SchEndTime,QtyToMakeEnt,QtyManufacturedEnt,TotQtyScrappedEnt,GrossQtyEnt,ProductCode,LibraryCode,TimeStamp,NestAllocs,CreatedForNest
10014373,SG WO 9183,TRA, , ,50,PONY 3X17-24826,38' PONY TRAILER FRAME 3X,3,1975,CASH ON DELIVERY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,4816.5,28387.56865,1,1,O, ,250,0,Y,N,N,N,26028,0,0,0, ,0,0,15,13,0,Y,N,Y, ,N,4,0,1200,0,0,29773.61,29773.61,15671.89,7337.2,7337.2,139.75,112.88,112.88,2.15,29773.61,29773.61,0,7337.2,7340.45,0,0, ,00:00.0,1425, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,4816.5,28387.56865, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D7BFD40, , 
10014547,8721TT-NO/TILT,TRA, , ,50,20NTT-102-24960,"TRAILER 20 TON ""NTT""",3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,5645.25,16148.52847,1,1,O, ,190,0,Y,N,N,N,25467,0,0,0,512782,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,17844.37,11792.46,0,6277.05,3289,0,96.57,50.6,0,17844.37,0,0,6277.05,0,0,0, ,00:00.0,1504, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,5645.25,16148.52847, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011CBA5A10, , 
10014551,8725TT-NO-TILT,TRA, , ,50,25NTT-102-25173,"TRAILER 25 TON ""NTT"" STAND",3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6818.5,19783.73964,1,1,O, ,212,0,Y,N,N,N,31241,0,0,0,512786,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,20982.51,13979.79,0,7116.2,1946.1,0,109.48,29.94,0,20982.51,0,0,7116.2,0,0,0, ,00:00.0,1027, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6818.5,19783.73964, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E21D161, , 
10014467,8753VT962X-STAN,TRA, , ,50,53VT2V DCI-96-25148,TRAILER 53' 2X VAN CONTAINER,3,2711,DEMOUNTABLE CONCEPTS INC.,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6669,22679.632,1,1,O, ,252,0,Y,N,N,N,35757.867,0,0,0,512696,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,22427.86,13196.55,0,6613.75,3622.45,76.05,101.75,55.73,1.17,22427.86,0,0,6613.75,0,0,0, ,00:00.0,1405, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6669,22679.632, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011CBBB73A, , 
10014630,PY-FR454-WR3X-005,TRA, , ,50,PONY 3X17-25387,38' PONY TRAILER FRAME 3X,3,3384,STARGATE MFG LTD,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6116.5,21173.26448,1,1,O, ,271,0,Y,N,N,N,40421,0,0,0,512889,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,29758.25,29758.25,15671.89,6255.6,6255.6,102.7,96.24,96.24,1.58,29758.25,29758.25,0,6255.6,6255.6,0,0, ,00:00.0,804, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6116.5,21173.26448, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011BBBECA2, , 
10014726,8740ADG3X53 AGNR,TRA, , ,50,40ADG3X53 AGNR-102-25476,40 TON - 53 FT - 3 AXLE - 22.5 - 61 IN,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,13801.45,54753.08334,1,1,O, ,399,0,Y,N,N,N,84260,0,0,0,513007,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,58730.54,23395.88,0,13802.75,2031.25,0,212.35,31.25,0,58730.54,0,0,13802.75,0,0,0, ,00:00.0,1513, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,13801.45,54753.08334, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E219EED, , 
10014633,8730TT-ART-STAN,TRA, , ,50,30ART-102-25315,30 TON - 3 AXLE - 17.5 - 49,3,3035,NORTHEAST TRUCK & TRAILER,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,7517.25,22839.66834,1,1,O, ,367,0,Y,N,N,N,34798,0,0,0,512892,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,23773.62,13942.25,0,7088.9,603.2,0,109.06,9.28,0,23773.62,0,0,7088.9,0,0,0, ,00:00.0,1321, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,7517.25,22839.66834, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D7B61D3, , 
10014650,8725TT-ART-CAN,TRA, , ,50,25ART-102-25335,25 TON - 3 AXLE - 17.5 - 49 IN,3,3234,THE MCLEAN COMPANY,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,9174.75,29332.82843,1,1,O, ,297,0,Y,N,N,N,49548.105,0,0,0,512921,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,29739.02,20444.44,0,10798.45,3826.55,0,166.13,58.87,0,29739.02,0,0,10798.45,0,0,0, ,00:00.0,1337, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,9174.75,29332.82843, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011DD87D48, , 
10014558,8753ET4X,TRA, , ,50,53ET4X-102-24983,TRAILER 53' 4AX ET AIR RIDE,3,3303,REMORQUE LEWIS,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,11810.5,44587.88119,1,1,O, ,326,0,Y,N,N,N,70208,0,0,0,512793,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,48218.49,27933.83,0,11583.65,540.8,0,178.21,8.32,0,48218.49,0,0,11583.65,0,0,0, ,00:00.0,1614, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,11810.5,44587.88119, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011E21A0A6, , 
10014468,8753VT962X-STAN,TRA, , ,50,53VT2V DCI-96-25149,TRAILER 53' 2X VAN CONTAINER,3,2711,DEMOUNTABLE CONCEPTS INC.,00:00.0,00:00.0,00:00.0,00:00.0,Y,N,S,6669,22679.632,1,1,O, ,258,0,Y,N,N,N,35757.867,0,0,0,512697,0,0,15,13,0,Y,N,Y, ,N,1,0,1200,0,1,22366.32,10081.06,0,7007,3591.9,0,107.8,55.26,0,22366.32,0,0,7007,0,0,0, ,00:00.0,1614, ,0, , ,     ,     ,  , , , , ,00:00.0,N,1,6669,22679.632, , , , , , ,0,S,1,M, ,NULL,0,NULL,0,1,1,0,1, ,     ,0x000000011D33F5E7, , 
