Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40900458,BRACKET 1 HL. SUSPENSION,EA,01,12,0,-12,25.98,,0,,-25.98,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40900476,CAP WINCH BRACKET  10GA,EA,01,8,0,-8,6.17,,0,,-6.17,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933018,PLATE 10 GA FRONT TR. ISO PLUG,EA,01,1,0,-1,5.47,,0,,-5.47,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933038,PLATE DBL BUNK TOP P/S,EA,01,2,0,-2,19.19,,0,,-19.19,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933039,PLATE DBL BUNK BOTTOM,EA,01,4,0,-4,23.27,,0,,-23.27,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933040,PLATE DBL BUNK REINFORCEMENT,EA,01,4,0,-4,42.32,,0,,-42.32,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933053,BRACKET BUNK SUPPORT STIFFINER,EA,01,16,0,-16,21.07,,0,,-21.07,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933344,LF-REAR GUSSET,EA,01,2,0,-2,18.67,,0,,-18.67,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40933561,PLATE LF GUSSETT,EA,01,2,0,-2,14.97,,0,,-14.97,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40934796,BRACKET ABS LIGHT,EA,01,1,0,-1,6.53,,0,,-6.53,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40938152,PLATE CENTER REAR BACKER,EA,01,1,0,-1,52.86,,0,,-52.86,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40946754,"X-MEMBER 41-1/8"" WITH HOLES",EA,01,13,0,-13,445.31,,0,,-445.31,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40950458,FRONT SUSPENSION GUSSET,EA,01,2,0,-2,11.56,,0,,-11.56,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40950614,PLATE DBL BUNK TOP D/S,EA,01,2,0,-2,20.94,,0,,-20.94,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40950633,KEYHOLE PLATE,EA,01,22,0,-22,23.3,,0,,-23.3,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40950643,REAR SKIRT BRACKET LF,EA,01,2,0,-2,13.86,,0,,-13.86,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,4,40950646,"P-STIFFENER LOADER PIPES 9""",EA,01,4,0,-4,20.32,,0,,-20.32,,-100,,,,,,,,,,,,
