Text0,Text5,Desc,LongDesc,Text89,Text91,Text64,Text19,Text15,Text17,Text66,Text94,Text67,Text68,Text69,Text70,Text71,Text72,Seq,Op,Comp,Desc_txt,LongDesc_txt,Text95,QtPer,SUOM,MC,,RT,,LC,,TC,,,,,,,,,
,,,,,,,,,,,,,,,,,,22-Jan-21,4,40933018,PLATE 10 GA FRONT TR. ISO PLUG,"4 1/2 X 15 1/2"" = 0.484 SQ FT",0,1,EA,5.47,,,,0.00,,5.47,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Jun-20,4,40933038,PLATE DBL BUNK TOP P/S,USE WITH EXTE BUNKS ONLY,0,3,EA,28.78,,,,0.00,,28.78,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Jun-20,4,40933039,PLATE DBL BUNK BOTTOM,USE WITH HSS OR EXTE BUNKS,0,6,EA,34.91,,,,0.00,,34.91,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Jun-20,4,40933040,PLATE DBL BUNK REINFORCEMENT,"PLATE 50W 1/4""",0,6,EA,63.48,,,,0.00,,63.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Feb-21,4,40933053,BRACKET BUNK SUPPORT STIFFINER,"1/4""--50W",0,16,EA,22.20,,,,0.00,,22.20,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Feb-21,4,40933344,LF-REAR GUSSET,1/4 50W PLATE,0,2,EA,20.31,,,,0.00,,20.31,,,,,,,,,
,,,,,,,,,,,,,,,,,,06-Sep-19,4,40933561,PLATE LF GUSSETT,3/8 50W,0,2,EA,14.97,,,,0.00,,14.97,,,,,,,,,
,,,,,,,,,,,,,,,,,,05-Feb-21,4,40934796,BRACKET ABS LIGHT,"3/16"" 50W LOGGER",0,1,EA,6.53,,,,0.00,,6.53,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Mar-21,4,40946754,"X-MEMBER 41-1/8"" WITH HOLES",1/4 50W PLATE,0,13,EA,564.29,,,,0.00,,564.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Jul-18,4,40950429,REAR SUSPENSION GUSSET,3/8 50W PLATE,0,2,EA,20.68,,,,0.00,,20.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Sep-20,4,40950458,FRONT SUSPENSION GUSSET,3/16 50W PLATE,0,2,EA,11.56,,,,0.00,,11.56,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Jun-20,4,40950614,PLATE DBL BUNK TOP D/S,USE WITH EXTE BUNK ONLY,0,3,EA,31.40,,,,0.00,,31.40,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Sep-20,4,40950633,KEYHOLE PLATE,"   1/4""--50W",0,22,EA,23.30,,,,0.00,,23.30,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Feb-21,4,40950643,REAR SKIRT BRACKET LF,"PLATE 50W 1/4""",0,2,EA,19.90,,,,0.00,,19.90,,,,,,,,,
,,,,,,,,,,,,,,,,,,27-Jan-17,4,40950646,"P-STIFFENER LOADER PIPES 9""",PLATE 50W 1/4,0,4,EA,20.32,,,,0.00,,20.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Feb-21,4,40952074,TOW HOOK BUMPER PIN BAR,"PLATE 100 KSI 3/4""",0,1,EA,163.85,,,,0.00,,163.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Feb-21,4,40952647,PLATE SERRATED EDGE FOR BUNK,"1/2"" 50W    2"" TEETH",0,2,EA,49.72,,,,0.00,,49.72,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Jul-18,4,40953078,SUSPENSION STAND GUSSET,PLATE 50W 3/16,0,2,EA,52.51,,,,0.00,,52.51,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Oct-17,4,40953541,PLATE LANDING GEAR PROTECTOR,"  1/4""--50W (16"" LONG)",0,2,EA,41.71,,,,0.00,,41.71,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Nov-16,4,40953551,FENDER SUPPORT P/S,PLATE DECK 1/8,0,2,EA,50.68,,,,0.00,,50.68,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Nov-16,4,40953552,FENDER SUPPORT D/S,PLATE DECK 1/8,0,1,EA,42.58,,,,0.00,,42.58,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Nov-16,4,40953555,FENDER SUPPORT D/S,PLATE DECK 1/8,0,1,EA,25.34,,,,0.00,,25.34,,,,,,,,,
,,,,,,,,,,,,,,,,,,20-Feb-20,4,40953562,PLATE SERRATED EDGE FOR BUNK,"1/2"" 50W    2"" TEETH",0,4,EA,51.52,,,,0.00,,51.52,,,,,,,,,
,,,,,,,,,,,,,,,,,,01-Oct-20,4,40960454,GLAD HAND GUARD PLATE-LD133,3/8 50W PLATE,0,1,EA,47.38,,,,0.00,,47.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,25-Feb-21,4,40964583,COUPLER BRACKET - PLATE,3/16 50W PLATE,0,7,EA,8.42,,,,0.00,,8.42,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,4,40990216,REAR SUSPENSION GUSSET,3/8 50W PLATE,0,6,EA,165.00,,,,0.00,,165.00,,,,,,,,,
